make,model,class,drive,transmission,cylinders,engine_displacement,fuel_type,fuel_type_1,city_mpg,highway_mpg,co2,fuel_economy_score,ghg_score
Acura,ILX,Compact Cars,Front-Wheel Drive,Auto(AM-S8),4,2.4,Premium,Premium Gasoline,25,35,309,7,7
Acura,MDX AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S9),6,3.5,Premium,Premium Gasoline,19,26,404,5,5
Acura,MDX AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S9),6,3.5,Premium,Premium Gasoline,18,26,424,4,4
Acura,MDX FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S9),6,3.5,Premium,Premium Gasoline,20,27,391,5,5
Acura,MDX FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S9),6,3.5,Premium,Premium Gasoline,19,27,404,5,5
Acura,NSX Hybrid,Two Seaters,All-Wheel Drive,Auto(AM-S9),6,3.5,Premium,Premium Gasoline,21,22,420,4,4
Acura,RDX AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.5,Premium,Premium Gasoline,19,27,402,5,5
Acura,RDX FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),6,3.5,Premium,Premium Gasoline,20,28,386,5,5
Acura,RLX,Midsize Cars,Front-Wheel Drive,Automatic (S6),6,3.5,Premium,Premium Gasoline,20,30,380,5,5
Acura,RLX Hybrid,Midsize Cars,All-Wheel Drive,Auto(AM-S7),6,3.5,Premium,Premium Gasoline,29,30,306,7,7
Acura,TLX AWD,Compact Cars,All-Wheel Drive,Automatic (S9),6,3.5,Premium,Premium Gasoline,21,31,358,5,5
Acura,TLX FWD,Compact Cars,Front-Wheel Drive,Auto(AM-S8),4,2.4,Premium,Premium Gasoline,24,35,321,6,6
Acura,TLX FWD,Compact Cars,Front-Wheel Drive,Automatic (S9),6,3.5,Premium,Premium Gasoline,21,34,358,5,5
Alfa Romeo,4C,Two Seaters,Rear-Wheel Drive,Auto(AM6),4,1.8,Premium,Premium Gasoline,24,34,317,6,6
